striker,n_balls_mi,mean_P_j,mean_RPB,mean_BoundaryRate,mean_DismissalRate,NCBPI,confidence,CWBPI,CWBPI_normalized
F du Plessis,369,0.6368563685636857,1.2791327913279134,0.1788617886178861,0.048780487804878,0.9254742547425474,0.4246260069044879,0.8940910428988145,0.8506144153675742
Priyansh Arya,35,0.7857142857142857,1.457142857142857,0.2285714285714285,0.0857142857142857,1.1857142857142855,0.0654205607476635,0.8915235818300369,0.8481718012587061
R Shepherd,9,1.0,1.8888888888888888,0.2222222222222222,0.1111111111111111,2.0,0.0176817288801571,0.8908941380728286,0.8475729652253995
A Symonds,137,0.6532846715328468,1.2773722627737227,0.1678832116788321,0.0583941605839416,0.9635036496350364,0.2150706436420722,0.8908400569530138,0.8475215138877767
DR Smith,254,0.6023622047244095,1.4015748031496065,0.2204724409448819,0.0472440944881889,0.9251968503937008,0.3368700265251989,0.8892110295478379,0.8459717005831061
Shivam Mavi,18,0.8888888888888888,1.4444444444444444,0.2222222222222222,0.1111111111111111,1.3888888888888888,0.0347490347490347,0.8889287959055401,0.8457031910095598
Bipul Sharma,23,0.5652173913043478,2.0869565217391304,0.2608695652173913,0.0434782608695652,1.2608695652173914,0.0439770554493307,0.8880786162123704,0.8448943526832992
LH Ferguson,13,1.0,1.3846153846153846,0.1538461538461538,0.0,1.5384615384615383,0.0253411306042884,0.8878462305634888,0.8446732671636161
LS Livingstone,20,1.0,1.25,0.1,0.05,1.3,0.0384615384615384,0.887432915921288,0.8442800506164527
SS Tiwary,85,0.711764705882353,1.3058823529411765,0.1411764705882353,0.0117647058823529,0.9823529411764704,0.1452991452991453,0.8871198568872987,0.843982214585897
YBK Jaiswal,89,0.5898876404494382,1.4943820224719102,0.2359550561797752,0.0561797752808988,0.9719101123595506,0.1511035653650254,0.8861886524262644,0.8430962914525635
JA Morkel,87,0.6954022988505747,1.3218390804597702,0.1494252873563218,0.057471264367816,0.9655172413793104,0.1482112436115843,0.8849490907650251,0.8419170054881626
Sachin Baby,13,0.8846153846153846,1.3846153846153846,0.1538461538461538,0.1538461538461538,1.4230769230769231,0.0253411306042884,0.8849222539553017,0.8418914736618519
RV Uthappa,167,0.6467065868263473,1.311377245508982,0.155688622754491,0.059880239520958,0.9251497005988024,0.2503748125937031,0.8845054217077508,0.8414949105586055
